zipcode,id,year,dhouse,dlivedsf,dincome,dage,mode_phone,mode_web/phone,language_Chinese,language_English,language_Spanish,language_Tagalog,movesf_Not at all likely,movesf_Not too likely,movesf_Somewhat likely,movesf_Very likely,gender_Female,gender_Male,gender_Other,dethnic_Asian or Pacific Islander,dethnic_Black/African American,dethnic_Dont know,dethnic_Latino/Hispanic,dethnic_Mixed Ethnicity,dethnic_Native American/Indian,dethnic_Other,dethnic_Pacific Islander,dethnic_White/Caucasian,deduc_4 or more years of college/Post Graduate,deduc_High school,deduc_Less than 4 years of college,deduc_Less than high school
94102.0,201711173.08536586,2017.0,2.246913580246914,22.951219512195124,77323.94366197183,48.69135802469136,1.0,0.0,0.07317073170731707,0.9024390243902439,0.024390243902439025,0.0,0.5,0.18292682926829268,0.17073170731707318,0.13414634146341464,0.5853658536585366,0.4146341463414634,0.0,0.2804878048780488,0.0975609756097561,0.0,0.0,0.024390243902439025,0.3780487804878049,0.0,0.0975609756097561,0.10975609756097561,0.4146341463414634,0.24390243902439024,0.23170731707317074,0.08536585365853659
94103.0,201710977.52564102,2017.0,2.2948717948717947,21.076923076923077,111805.55555555556,48.42307692307692,0.9871794871794872,0.01282051282051282,0.01282051282051282,0.9743589743589743,0.01282051282051282,0.0,0.47435897435897434,0.21794871794871795,0.14102564102564102,0.16666666666666666,0.6282051282051282,0.3717948717948718,0.0,0.10256410256410256,0.08974358974358974,0.0,0.02564102564102564,0.0,0.4358974358974359,0.0,0.10256410256410256,0.20512820512820512,0.5384615384615384,0.1794871794871795,0.2564102564102564,0.02564102564102564
94104.0,201711219.75,2017.0,2.5454545454545454,10.727272727272727,113500.0,40.25,1.0,0.0,0.08333333333333333,0.75,0.16666666666666666,0.0,0.25,0.25,0.25,0.16666666666666666,0.75,0.25,0.0,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.25,0.5833333333333334,0.3333333333333333,0.0,0.08333333333333333
94105.0,201711001.55555555,2017.0,1.9444444444444444,14.555555555555555,189666.66666666666,45.833333333333336,0.9444444444444444,0.05555555555555555,0.0,1.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.6111111111111112,0.3888888888888889,0.0,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.5,0.0,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.0,0.0
94107.0,201711080.29411766,2017.0,2.392156862745098,26.45098039215686,156914.89361702127,50.62,0.9607843137254902,0.0392156862745098,0.0,1.0,0.0,0.0,0.5686274509803921,0.1568627450980392,0.17647058823529413,0.09803921568627451,0.5294117647058824,0.45098039215686275,0.0,0.09803921568627451,0.11764705882352941,0.0,0.0196078431372549,0.0196078431372549,0.5882352941176471,0.0,0.0784313725490196,0.058823529411764705,0.6470588235294118,0.11764705882352941,0.19607843137254902,0.0392156862745098
94108.0,201711126.04347825,2017.0,2.590909090909091,11.826086956521738,95000.0,42.30434782608695,1.0,0.0,0.13043478260869565,0.8260869565217391,0.043478260869565216,0.0,0.43478260869565216,0.17391304347826086,0.2608695652173913,0.08695652173913043,0.6956521739130435,0.30434782608695654,0.0,0.4782608695652174,0.0,0.043478260869565216,0.043478260869565216,0.0,0.2608695652173913,0.0,0.0,0.08695652173913043,0.5652173913043478,0.13043478260869565,0.21739130434782608,0.08695652173913043
94109.0,201711101.99224806,2017.0,2.0930232558139537,22.0,123285.71428571429,51.166666666666664,0.9844961240310077,0.015503875968992248,0.03875968992248062,0.9457364341085271,0.015503875968992248,0.0,0.40310077519379844,0.2558139534883721,0.18604651162790697,0.12403100775193798,0.5503875968992248,0.43410852713178294,0.0,0.1937984496124031,0.046511627906976744,0.0,0.03875968992248062,0.031007751937984496,0.4806201550387597,0.007751937984496124,0.06976744186046512,0.06976744186046512,0.6666666666666666,0.10852713178294573,0.14728682170542637,0.06976744186046512
94110.0,201711135.9722222,2017.0,2.8222222222222224,24.805555555555557,148838.70967741936,49.09604519774011,0.9944444444444445,0.005555555555555556,0.0,0.8666666666666667,0.13333333333333333,0.0,0.5,0.23333333333333334,0.15555555555555556,0.1111111111111111,0.5611111111111111,0.43333333333333335,0.005555555555555556,0.044444444444444446,0.016666666666666666,0.0,0.027777777777777776,0.005555555555555556,0.5,0.0,0.05,0.3277777777777778,0.6388888888888888,0.1,0.16111111111111112,0.08333333333333333
94111.0,201710671.27272728,2017.0,1.8181818181818181,15.181818181818182,131111.11111111112,51.90909090909091,1.0,0.0,0.0,1.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0
94112.0,201711122.63157895,2017.0,3.4140969162995596,25.387665198237887,101840.65934065935,48.763392857142854,0.9912280701754386,0.008771929824561403,0.15350877192982457,0.7894736842105263,0.039473684210526314,0.017543859649122806,0.5789473684210527,0.16228070175438597,0.16228070175438597,0.08333333333333333,0.45614035087719296,0.5219298245614035,0.0043859649122807015,0.37719298245614036,0.07894736842105263,0.0043859649122807015,0.013157894736842105,0.02631578947368421,0.20175438596491227,0.0,0.06578947368421052,0.20614035087719298,0.4473684210526316,0.16666666666666666,0.2543859649122807,0.10087719298245613
94114.0,201711003.27450982,2017.0,2.2941176470588234,25.22772277227723,165882.35294117648,52.53465346534654,0.9901960784313726,0.00980392156862745,0.0196078431372549,0.9607843137254902,0.0196078431372549,0.0,0.47058823529411764,0.21568627450980393,0.20588235294117646,0.09803921568627451,0.6470588235294118,0.3431372549019608,0.0,0.08823529411764706,0.00980392156862745,0.0,0.0,0.0,0.6862745098039216,0.00980392156862745,0.08823529411764706,0.06862745098039216,0.7450980392156863,0.06862745098039216,0.14705882352941177,0.0196078431372549
94115.0,201711101.89361703,2017.0,2.2111111111111112,25.606382978723403,165705.12820512822,51.10227272727273,0.9787234042553191,0.02127659574468085,0.0,0.9787234042553191,0.02127659574468085,0.0,0.5212765957446809,0.22340425531914893,0.14893617021276595,0.10638297872340426,0.5531914893617021,0.425531914893617,0.0,0.13829787234042554,0.05319148936170213,0.0,0.02127659574468085,0.0,0.6382978723404256,0.0,0.05319148936170213,0.0425531914893617,0.776595744680851,0.031914893617021274,0.1595744680851064,0.02127659574468085
94116.0,201711096.59649122,2017.0,2.8684210526315788,30.12280701754386,130934.06593406593,53.0,1.0,0.0,0.06140350877192982,0.9298245614035088,0.0,0.008771929824561403,0.6754385964912281,0.12280701754385964,0.11403508771929824,0.07017543859649122,0.4824561403508772,0.5087719298245614,0.008771929824561403,0.43859649122807015,0.008771929824561403,0.02631578947368421,0.03508771929824561,0.0,0.35964912280701755,0.0,0.03508771929824561,0.06140350877192982,0.6228070175438597,0.15789473684210525,0.19298245614035087,0.02631578947368421
94117.0,201711107.18085107,2017.0,2.5851063829787235,25.30851063829787,170064.93506493507,51.15384615384615,1.0,0.0,0.010638297872340425,0.9787234042553191,0.010638297872340425,0.0,0.4574468085106383,0.23404255319148937,0.20212765957446807,0.10638297872340426,0.574468085106383,0.40425531914893614,0.0,0.06382978723404255,0.0851063829787234,0.010638297872340425,0.0425531914893617,0.0,0.5957446808510638,0.0,0.07446808510638298,0.05319148936170213,0.7659574468085106,0.05319148936170213,0.14893617021276595,0.02127659574468085
94118.0,201711004.8938053,2017.0,2.544642857142857,28.168141592920353,159891.30434782608,52.642857142857146,0.9823008849557522,0.017699115044247787,0.035398230088495575,0.9646017699115044,0.0,0.0,0.5309734513274337,0.23008849557522124,0.11504424778761062,0.10619469026548672,0.5132743362831859,0.4690265486725664,0.0,0.22123893805309736,0.008849557522123894,0.0,0.008849557522123894,0.008849557522123894,0.6283185840707964,0.0,0.04424778761061947,0.02654867256637168,0.7787610619469026,0.07079646017699115,0.11504424778761062,0.017699115044247787
94120.0,201710938.0,2017.0,3.0,30.0,50000.0,54.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
94121.0,201711041.55339807,2017.0,2.8155339805825244,27.990291262135923,159176.4705882353,51.3921568627451,0.9902912621359223,0.009708737864077669,0.11650485436893204,0.8737864077669902,0.0,0.009708737864077669,0.6116504854368932,0.18446601941747573,0.13592233009708737,0.04854368932038835,0.4077669902912621,0.5922330097087378,0.0,0.33980582524271846,0.009708737864077669,0.0,0.0,0.0,0.5339805825242718,0.0,0.04854368932038835,0.02912621359223301,0.6893203883495146,0.10679611650485436,0.1553398058252427,0.04854368932038835
94122.0,201711068.71755725,2017.0,2.813953488372093,29.015384615384615,141298.07692307694,52.6031746031746,0.9847328244274809,0.015267175572519083,0.061068702290076333,0.9236641221374046,0.015267175572519083,0.0,0.5648854961832062,0.16793893129770993,0.16030534351145037,0.08396946564885496,0.5419847328244275,0.4351145038167939,0.0,0.3282442748091603,0.022900763358778626,0.007633587786259542,0.030534351145038167,0.0,0.42748091603053434,0.0,0.061068702290076333,0.07633587786259542,0.6870229007633588,0.06870229007633588,0.1984732824427481,0.03816793893129771
94123.0,201711009.58536586,2017.0,2.073170731707317,23.463414634146343,188684.2105263158,51.95,1.0,0.0,0.0,1.0,0.0,0.0,0.4146341463414634,0.17073170731707318,0.1951219512195122,0.21951219512195122,0.43902439024390244,0.5609756097560976,0.0,0.04878048780487805,0.0,0.0,0.0975609756097561,0.0,0.8048780487804879,0.0,0.04878048780487805,0.0,0.9024390243902439,0.0,0.0975609756097561,0.0
94124.0,201711110.37391305,2017.0,3.3716814159292037,28.48695652173913,76182.79569892473,49.5,0.991304347826087,0.008695652173913044,0.06086956521739131,0.8521739130434782,0.08695652173913043,0.0,0.4956521739130435,0.14782608695652175,0.20869565217391303,0.12173913043478261,0.4956521739130435,0.4956521739130435,0.0,0.16521739130434782,0.40869565217391307,0.0,0.0,0.02608695652173913,0.0782608695652174,0.0,0.0782608695652174,0.22608695652173913,0.33043478260869563,0.30434782608695654,0.25217391304347825,0.10434782608695652
94125.0,201711101.5,2017.0,2.5,40.0,100000.0,64.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94126.0,201711135.0,2017.0,3.0,20.0,100000.0,34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
94127.0,201711073.93243244,2017.0,2.8513513513513513,31.37837837837838,203362.06896551725,55.84722222222222,0.9864864864864865,0.013513513513513514,0.0,1.0,0.0,0.0,0.6351351351351351,0.21621621621621623,0.08108108108108109,0.06756756756756757,0.4189189189189189,0.581081081081081,0.0,0.13513513513513514,0.05405405405405406,0.0,0.013513513513513514,0.013513513513513514,0.6486486486486487,0.02702702702702703,0.013513513513513514,0.02702702702702703,0.7432432432432432,0.05405405405405406,0.16216216216216217,0.013513513513513514
94129.0,201710984.55555555,2017.0,3.125,18.0,210714.2857142857,50.22222222222222,1.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111,0.0
94130.0,201710917.25,2017.0,3.25,10.0,66666.66666666667,41.5,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.25,0.75,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.25,0.25,0.0
94131.0,201710961.21052632,2017.0,2.5675675675675675,30.763157894736842,182500.0,56.76315789473684,1.0,0.0,0.013157894736842105,0.9868421052631579,0.0,0.0,0.618421052631579,0.18421052631578946,0.10526315789473684,0.09210526315789473,0.47368421052631576,0.5263157894736842,0.0,0.17105263157894737,0.05263157894736842,0.013157894736842105,0.0,0.0,0.7236842105263158,0.0,0.0,0.0,0.8421052631578947,0.013157894736842105,0.11842105263157894,0.02631578947368421
94132.0,201711123.46835443,2017.0,3.08974358974359,27.430379746835442,146083.33333333334,49.43037974683544,1.0,0.0,0.0,0.9873417721518988,0.012658227848101266,0.0,0.5189873417721519,0.1518987341772152,0.17721518987341772,0.13924050632911392,0.5569620253164557,0.4177215189873418,0.0,0.2911392405063291,0.11392405063291139,0.0,0.0,0.0,0.4050632911392405,0.0,0.08860759493670886,0.0379746835443038,0.6329113924050633,0.0759493670886076,0.25316455696202533,0.02531645569620253
94133.0,201711042.83606556,2017.0,2.278688524590164,23.78688524590164,110588.23529411765,50.63333333333333,0.9836065573770492,0.01639344262295082,0.16393442622950818,0.8360655737704918,0.0,0.0,0.47540983606557374,0.2459016393442623,0.19672131147540983,0.04918032786885246,0.45901639344262296,0.5409836065573771,0.0,0.36065573770491804,0.01639344262295082,0.01639344262295082,0.0,0.01639344262295082,0.4426229508196721,0.0,0.11475409836065574,0.03278688524590164,0.5081967213114754,0.22950819672131148,0.21311475409836064,0.04918032786885246
94134.0,201711238.35,2017.0,3.404040404040404,26.36,96460.67415730337,48.313131313131315,1.0,0.0,0.12,0.75,0.13,0.0,0.56,0.15,0.22,0.07,0.47,0.53,0.0,0.33,0.1,0.0,0.01,0.05,0.18,0.03,0.05,0.22,0.39,0.22,0.22,0.16
94158.0,201710850.75,2017.0,1.9166666666666667,16.166666666666668,166111.11111111112,47.5,1.0,0.0,0.0,1.0,0.0,0.0,0.4166666666666667,0.25,0.08333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.0,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5833333333333334,0.0,0.3333333333333333,0.08333333333333333
99999.0,201711075.92857143,2017.0,3.12,23.846153846153847,76250.0,48.75,1.0,0.0,0.03571428571428571,0.9642857142857143,0.0,0.0,0.32142857142857145,0.10714285714285714,0.35714285714285715,0.10714285714285714,0.25,0.25,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.0,0.0,0.0,0.10714285714285714,0.0,0.03571428571428571,0.0,0.10714285714285714,0.21428571428571427,0.07142857142857142,0.0
